event_id,stock_code,stock_name,market_code,relation_type,relation_strength,relation_layer,note,event_day_pct,event_day_ar,ret_close_t2,ret_close_t5,ret_close_t7,car_t2,car_t5,car_t7
A_20250812_600053,600053,九鼎投资,sh.600053,涨停异动,1.0,直接,"规则抽取：涨跌幅=10.01%, 换手率=1.22%",10.0112,9.49417,8.948545861297541,6.096196868008952,2.7404921700223905,8.815741999999998,5.167135999999999,0.49470499999999973
A_20250813_600053,600053,九鼎投资,sh.600053,涨停异动,1.0,直接,"规则抽取：涨跌幅=10.02%, 换手率=6.44%",10.0153,9.22491,-6.71072699542451,-7.066598881545505,-6.456532791052383,-7.175083,-9.101379999999999,-10.933309000000001
A_20250814_600053,600053,九鼎投资,sh.600053,跌停异动,1.0,直接,"规则抽取：涨跌幅=-9.98%, 换手率=11.56%",-9.9815,-9.903338,-14.048059149722736,-15.110905730129387,-14.371534195933455,-15.919460999999998,-18.224375,-21.535411
A_20251029_600053,600053,九鼎投资,sh.600053,涨停异动,1.0,直接,"规则抽取：涨跌幅=9.98%, 换手率=3.08%",9.9835,8.792853999999998,3.8058466629895316,9.156094870380581,15.499172642029801,5.4204409999999985,10.827297999999997,15.441768999999997
A_20260107_600053,600053,九鼎投资,sh.600053,涨停异动,1.0,直接,"规则抽取：涨跌幅=10.00%, 换手率=4.13%",10.0,10.292818,13.77551020408163,6.428571428571428,17.85714285714286,14.307418,8.082958,18.965337
A_20260116_600053,600053,九鼎投资,sh.600053,涨停异动,1.0,直接,"规则抽取：涨跌幅=10.00%, 换手率=5.25%",10.0,10.411592,11.285714285714299,5.714285714285716,10.952380952380958,11.959831000000001,7.334734,12.199761
A_20260203_600053,600053,九鼎投资,sh.600053,涨停异动,1.0,直接,"规则抽取：涨跌幅=10.00%, 换手率=5.19%",10.0,8.824843,3.200000000000003,-8.355555555555549,-16.222222222222214,2.8409940000000002,-9.903858,-18.47487
A_20260205_600053,600053,九鼎投资,sh.600053,跌停异动,1.0,直接,"规则抽取：涨跌幅=-10.00%, 换手率=2.52%",-10.0,-9.398461,-19.10852713178295,-26.937984496124024,-26.39534883720931,-20.83438,-30.714325,-29.715725999999997
A_20250407_600055,600055,万东医疗,sh.600055,跌停异动,1.0,直接,"规则抽取：涨跌幅=-10.01%, 换手率=2.02%",-10.0058,-2.9602850000000007,-7.038976148923792,0.05817335660267542,0.9307737056428289,-2.364748000000001,3.177578999999999,3.6902849999999985
A_20250407_600056,600056,中国医药,sh.600056,跌停异动,1.0,直接,"规则抽取：涨跌幅=-9.96%, 换手率=2.07%",-9.9624,-2.9168850000000006,-5.63909774436091,-4.981203007518797,-5.263157894736836,-0.8627480000000007,-2.1193210000000007,-2.779915000000001
A_20250918_600056,600056,中国医药,sh.600056,涨停异动,1.0,直接,"规则抽取：涨跌幅=10.05%, 换手率=9.40%",10.0457,11.208384,5.753424657534234,5.47945205479452,2.186118777814494,6.7744230000000005,5.067726,1.3650520000000004
A_20260202_600057,600057,厦门象屿,sh.600057,跌停异动,1.0,直接,"规则抽取：涨跌幅=-10.00%, 换手率=2.59%",-10.0,-7.867553,-5.882352941176472,-2.4705882352941244,-1.6470588235294237,-5.337498,-2.1623780000000004,-1.2086399999999995
A_20250407_600058,600058,五矿发展,sh.600058,跌停异动,1.0,直接,"规则抽取：涨跌幅=-10.01%, 换手率=1.10%",-10.0135,-2.9679850000000005,-9.06630581867388,-6.901217861975639,-7.983761840324766,-4.565148000000001,-4.129421000000001,-5.654015000000001
A_20250822_600058,600058,五矿发展,sh.600058,涨停异动,1.0,直接,"规则抽取：涨跌幅=10.02%, 换手率=2.49%",10.0239,7.926755999999999,13.24582338902147,20.40572792362767,19.21241050119331,9.342590999999999,15.013544999999997,14.163879
A_20251209_600058,600058,五矿发展,sh.600058,涨停异动,1.0,直接,"规则抽取：涨跌幅=9.98%, 换手率=2.78%",9.9768,10.485942000000001,8.236658932714636,7.5406032482598695,13.805104408352676,9.909964000000002,10.476701000000002,14.998697000000002
A_20251229_600058,600058,五矿发展,sh.600058,涨停异动,1.0,直接,"规则抽取：涨跌幅=10.03%, 换手率=5.98%",10.0287,10.412359,10.028653295128919,10.028653295128919,10.028653295128919,10.412359,10.412359,10.412359
A_20260115_600058,600058,五矿发展,sh.600058,涨停异动,1.0,直接,"规则抽取：涨跌幅=9.98%, 换手率=1.61%",9.9826,9.782287,22.395833333333325,35.67708333333335,30.20833333333335,21.310796,32.886657,29.19002
A_20260116_600058,600058,五矿发展,sh.600058,涨停异动,1.0,直接,"规则抽取：涨跌幅=10.02%, 换手率=0.39%",10.0237,10.435292,20.520915548539854,22.651933701657455,17.83741120757696,20.155431,22.977634000000002,18.968061000000002
A_20260120_600058,600058,五矿发展,sh.600058,放量上涨异动,1.0,直接,"规则抽取：涨跌幅=8.30%, 换手率=9.84%",8.2979,8.626922,10.851063829787243,5.886524822695027,5.177304964539009,11.575861,7.439552000000001,6.105718000000003
A_20260122_600058,600058,五矿发展,sh.600058,涨停异动,1.0,直接,"规则抽取：涨跌幅=9.99%, 换手率=7.94%",9.993,9.979452,5.559465165376487,4.363124560168896,-7.318789584799445,6.282815000000001,4.509309000000002,-3.834934999999998
A_20250527_600059,600059,古越龙山,sh.600059,放量上涨异动,1.0,直接,"规则抽取：涨跌幅=7.40%, 换手率=12.44%",7.4039,7.940408,-2.4367385192127555,-4.592314901593264,-6.575996312659427,-1.9451330000000002,-4.417326,-6.643111000000001
